Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Indian rupee   (INR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
2012-01-03,76.3243,0.971439674,7.490636704,1.8485,1.2925,1.009,518.2,6.3001,1707.47,19.728,5.7138,0.768403258,53.23,3.814,76.66,1155.5,0.27815,3.1525,29.3454,13.6882,1.26486213,5.9436,0.3845,2.695,43.75,3.4277,3.64,32.1961,3.75,1.2925,8.0426,6.8152,0.9334,31.463,6.4062,3.6725,0.640573954,1,19.7
2012-01-04,76.3243,0.965903603,7.490636704,1.8304,1.2874,1.0135,514.34,6.3001,1709.534322,19.893,5.743,0.772320049,53.14,3.847,76.66,1150.9,0.2778,3.1393,29.2839,13.7144,1.26486213,5.9473,0.3845,2.696,43.758,3.432,3.64,32.1961,3.75,1.2874,8.1072,6.8152,0.9384,31.463,6.4062,3.6725,0.641190049,1,19.689
2012-01-05,76.3243,0.968710646,7.530120482,1.8432,1.2883,1.0197,512.23,6.3115,1711.598645,20.191,5.7949,0.779301746,52.78,3.854,76.73,1147.4,0.27825,3.1395,29.274,13.7409,1.26984127,5.987,0.3845,2.694,43.755,3.5081,3.64,32.1961,3.75,1.2883,8.1944,6.8493,0.9492,31.557,6.3886,3.6725,0.644329897,1,19.707
2012-01-06,76.3243,0.97837785,7.530120482,1.8416,1.2923,1.0232,511.8,6.3166,1713.662967,20.232,5.8195,0.782717595,52.78,3.839,77.19,1150.3,0.27825,3.1505,29.3709,13.7228,1.280901755,6.007,0.3845,2.693,43.921,3.5081,3.64,32.1961,3.75,1.2923,8.16315,6.8493,0.9516,31.637,6.3994,3.6725,0.645244548,1,19.707
2012-01-09,76.5183,0.983284169,7.530120482,1.8442,1.2994,1.0272,509.54,6.3236,1715.72729,20.284,5.8419,0.78566939,52.73,3.839,77.19,1158.4,0.27935,3.161,29.4965,13.7437,1.282051282,6.0159,0.3845,2.692,44.134,3.515,3.64,32.1961,3.75,1.2994,8.16475,6.9227,0.952,31.793,6.3931,3.6725,0.64758451,1,19.65
2012-01-10,76.3955,0.969838037,7.48502994,1.8442,1.2912,1.0164,512.4,6.3171,1717.791612,20.131,5.8054,0.780762024,52.23,3.833,76.87,1164.3,0.27895,3.14,29.5511,13.6204,1.270325203,5.9771,0.3845,2.691,44.246,3.5083,3.64,31.8729,3.75,1.2912,8.08605,6.9122,0.9498,31.708,6.3881,3.6725,0.646746863,1,19.593
2012-01-11,76.6448,0.972384286,7.524454477,1.8042,1.2925,1.0192,508.76,6.3155,1719.855935,20.315,5.8471,0.786287152,51.75,3.849,76.92,1158.7,0.2791,3.146,29.5658,13.6592,1.259445844,6.0155,0.3845,2.693,43.978,3.4919,3.64,31.6886,3.75,1.2925,8.1372,6.8987,0.9549,31.73,6.4038,3.6725,0.649899266,1,19.562
2012-01-12,76.4878,0.971250971,7.473841555,1.8048,1.2928,1.0198,506.91,6.323,1721.920257,20.084,5.839,0.785175879,51.83,3.836,76.91,1159.4,0.2793,3.142,29.5436,13.5982,1.254705144,6.0278,0.3845,2.691,44.006,3.4945,3.64,31.6807,3.75,1.2928,8.0288,6.9391,0.9488,31.833,6.4188,3.6725,0.65142336,1,19.587
2012-01-13,76.495,0.968992248,7.473841555,1.7874,1.2882,1.0245,501.47,6.3201,1723.98458,19.919,5.823,0.783024039,51.43,3.83,76.79,1158.8,0.2793,3.134,29.5323,13.6263,1.258653241,6.0238,0.3845,2.693,44.023,3.4323,3.64,31.583,3.75,1.2882,8.0476,6.9137,0.9467,31.775,6.4233,3.6725,0.652400835,1,19.6
2012-01-17,76.6668,0.963669654,7.462686567,1.7836,1.2862,1.0132,500.99,6.325,1726.048902,20.053,5.8134,0.781860829,51.07,3.834,76.83,1154,0.2792,3.1315,29.5602,13.4621,1.260080645,5.9918,0.3845,2.693,43.919,3.4215,3.64,31.5445,3.75,1.2862,8.0168,6.9329,0.947,31.834,6.3729,3.6725,0.650533437,1,19.6
2012-01-18,76.5907,0.961538462,7.462686567,1.776,1.282,1.014,496.68,6.3205,1728.113225,19.916,5.7951,0.779362481,50.67,3.813,76.69,1147,0.279,3.118,29.5553,13.3267,1.249531426,6.0046,0.3845,2.692,43.686,3.4,3.64,31.5428,3.75,1.282,8.03975,6.9153,0.9444,31.791,6.401,3.6725,0.650618087,1,19.531
2012-01-19,76.4492,0.962000962,7.396449704,1.7791,1.2777,1.0095,497.05,6.3173,1730.177547,19.603,5.7593,0.774533344,50.29,3.784,76.76,1143.1,0.27865,3.1037,29.4918,13.2516,1.24501992,5.9345,0.3845,2.692,43.509,3.3678,3.64,31.4777,3.75,1.2777,7.92985,6.843,0.9361,31.724,6.4032,3.6725,0.647668394,1,19.531
2012-01-20,76.4601,0.961446015,7.418397626,1.7648,1.2736,1.0143,491.93,6.3138,1732.24187,19.736,5.7636,0.775073632,50.33,3.783,77.12,1136.4,0.27865,3.1035,29.4221,13.224,1.24595066,5.9371,0.3845,2.691,43.339,3.3537,3.64,31.2879,3.75,1.2736,7.9646,6.7768,0.9359,31.543,6.3986,3.6725,0.646579594,1,19.562
2012-01-23,76.2026,0.953288847,7.390983001,1.767,1.2736,1.008,491.59,6.3138,1734.306192,19.474,5.7124,0.768226166,50.24,3.775,77.02,1136.4,0.27855,3.1035,29.4221,13.1383,1.24595066,5.8881,0.3845,2.69,43.339,3.3353,3.64,31.3325,3.75,1.2736,7.94245,6.783,0.9283,31.504,6.4035,3.6725,0.642343268,1,19.574
2012-01-24,76.3295,0.952925481,7.429420505,1.7528,1.2736,1.0097,487.87,6.3138,1736.370514,19.546,5.7181,0.769053295,49.97,3.787,76.99,1136.4,0.27815,3.1035,29.363,13.1712,1.233654083,5.8748,0.3845,2.691,43.299,3.297,3.64,30.8752,3.75,1.2736,7.99485,6.7464,0.9277,31.433,6.3819,3.6725,0.642549637,1,19.68
2012-01-25,76.3295,0.951203272,7.457121551,1.7649,1.2668,1.012,492.96,6.3138,1738.434837,19.597,5.7443,0.772678102,50.02,3.787,77.95,1134.7,0.27815,3.0805,29.2726,13.1319,1.231982259,5.9361,0.3845,2.692,43.186,3.299,3.64,30.667,3.75,1.2668,8.0362,6.7662,0.932,31.513,6.399,3.6725,0.642137032,1,19.721
2012-01-26,75.8871,0.951203272,7.315288954,1.7632,1.2584,0.9986,493.58,6.3138,1740.499159,19.178,5.6556,0.760745531,50.02,3.764,77.76,1126.3,0.2778,3.0405,29.2039,12.9325,1.224739743,5.817,0.3845,2.69,43.084,3.2233,3.64,30.36,3.75,1.2584,7.833,6.7523,0.9181,31.365,6.3946,3.6725,0.637755102,1,19.621
2012-01-27,75.4597,0.942063118,7.278020378,1.7389,1.2581,1.0013,485.64,6.3138,1742.563482,19.142,5.655,0.760745531,49.65,3.768,77.38,1121.6,0.2778,3.041,29.1759,12.9504,1.216841081,5.8159,0.3845,2.69,42.872,3.2163,3.64,30.3626,3.75,1.2581,7.7665,6.7837,0.9196,31.306,6.4053,3.6725,0.636739892,1,19.593
2012-01-30,75.5209,0.944376239,7.342143906,1.7436,1.2542,1.0032,485.35,6.3056,1744.627804,19.271,5.6706,0.762776506,49.5,3.766,76.68,1123.8,0.2773,3.0425,29.1255,13.0063,1.214771623,5.8589,0.3845,2.689,42.859,3.2433,3.64,30.3647,3.75,1.2542,7.85715,6.7768,0.9182,31.104,6.3901,3.6725,0.636861546,1,19.628
2012-01-31,75.3444,0.940114694,7.288629738,1.7509,1.2547,1.0052,488.99,6.3115,1746.692127,19.111,5.6425,0.758955677,49.68,3.733,76.36,1125,0.2772,3.0455,29.1257,13.0077,1.221150324,5.8106,0.3845,2.688,42.946,3.2032,3.64,30.3131,3.75,1.2547,7.7804,6.7519,0.9136,31.04,6.3892,3.6725,0.633352334,1,19.611
2012-02-01,75.3444,0.942507069,7.256894049,1.7391,1.2567,0.9971,488.75,6.3103,1748.756449,19.09,5.6423,0.759013283,49.53,3.737,76.2,1125.8,0.2776,3.0455,29.1257,12.89,1.211533802,5.8095,0.3845,2.688,42.919,3.1913,3.64,30.4067,3.75,1.2567,7.7355,6.7934,0.9178,31.031,6.3814,3.6725,0.633633253,1,19.549
2012-02-02,75.3444,0.933271115,7.256894049,1.7376,1.2465,0.9971,487.73,6.3075,1750.820772,19.202,5.677,0.763708569,49.13,3.727,76.14,1126.4,0.2776,3.0205,29.0411,12.89,1.199616123,5.8408,0.3845,2.69,42.9,3.1955,3.64,30.1855,3.75,1.2465,7.70745,6.7317,0.9176,30.908,6.3848,3.6725,0.631711939,1,19.491
